DISTRICT ACCOUNTABILITY RATINGS,TOTAL STUDENTS_y,ATTENDANCE RATE (2020-21),4-YR LONGITUDINAL GRADUATION RATE (CLASS OF 2021) DISTRICT EXCL,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE_y,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE_y,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD_y,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE_y,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE_y,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD_y,COLLEGE ADMISSIONS: % TESTED (2020-2021),COLLEGE ADMISSIONS: % AT/ABOVE CRITERION (2020-2021),Change in STAAR: % ALL SUBJECTS AT MASTERS GRADE LEVEL STANDARD,Change in STAAR: % ALL SUBJECTS AT MEETS GRADE LEVEL STANDARD OR ABOVE,Change in STAAR: % ALL SUBJECTS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE
A,223,92.0,100.0,83.0,52.0,24.0,83.0,51.0,24.0,93.3,7.1,0.0,0.0,0.0
A,1683,98.3,98.5,94.0,79.0,50.0,91.0,66.0,39.0,100.0,70.6,0.0,0.0,0.0
B,369,95.2,,70.0,48.0,25.0,54.0,24.0,8.0,,,0.0,0.0,0.0
C,1114,95.8,96.6,67.0,40.0,16.0,67.0,30.0,14.0,53.8,18.4,0.0,0.0,0.0
B,12566,94.1,93.9,70.0,46.0,20.0,63.0,30.0,12.0,90.1,32.4,0.0,0.0,0.0
B,506,94.7,93.3,71.0,43.0,19.0,68.0,30.0,9.0,25.0,57.1,0.0,0.0,0.0
B,8932,97.0,94.0,76.0,53.0,24.0,69.0,35.0,13.0,23.7,55.9,0.0,0.0,0.0
C,2882,93.7,89.4,63.0,38.0,14.0,56.0,22.0,7.0,27.4,18.8,0.0,0.0,0.0
B,6824,97.2,93.7,83.0,63.0,32.0,79.0,48.0,21.0,77.7,44.2,0.0,0.0,0.0
B,45990,97.5,95.9,84.0,68.0,41.0,80.0,57.0,35.0,97.3,55.2,0.0,0.0,0.0
C,3014,96.4,91.2,59.0,36.0,14.0,51.0,19.0,5.0,80.9,25.9,0.0,0.0,0.0
A,786,95.3,98.3,89.0,68.0,33.0,89.0,60.0,30.0,98.3,45.8,0.0,0.0,0.0
B,41543,97.0,97.5,85.0,67.0,36.0,80.0,51.0,27.0,98.5,54.0,0.0,0.0,0.0
B,263,97.7,,81.0,52.0,30.0,75.0,46.0,20.0,,,0.0,0.0,0.0
B,4010,93.1,92.0,72.0,49.0,21.0,70.0,36.0,15.0,32.7,44.0,0.0,0.0,0.0
A,3356,95.7,97.8,85.0,63.0,32.0,85.0,54.0,26.0,96.3,36.4,0.0,0.0,0.0
A,909,97.3,91.3,93.0,76.0,41.0,92.0,70.0,37.0,67.5,37.0,0.0,0.0,0.0
B,813,95.9,100.0,81.0,59.0,28.0,80.0,43.0,19.0,51.0,16.0,0.0,0.0,0.0
B,1270,92.3,95.3,61.0,35.0,13.0,65.0,31.0,13.0,89.0,6.8,0.0,0.0,0.0
A,407,94.6,100.0,81.0,54.0,22.0,83.0,56.0,30.0,72.4,28.6,0.0,0.0,0.0
B,786,96.4,98.1,86.0,64.0,34.0,87.0,57.0,25.0,51.1,25.0,0.0,0.0,0.0
B,1228,93.8,95.8,74.0,49.0,19.0,70.0,35.0,13.0,57.0,24.6,0.0,0.0,0.0
C,2027,95.6,90.7,68.0,47.0,21.0,72.0,36.0,13.0,32.7,50.0,0.0,0.0,0.0
B,576,94.6,94.3,73.0,47.0,20.0,75.0,33.0,14.0,85.3,27.6,0.0,0.0,0.0
B,3600,95.2,96.5,77.0,54.0,24.0,72.0,36.0,14.0,89.8,30.3,0.0,0.0,0.0
A,1281,96.7,100.0,90.0,69.0,36.0,90.0,58.0,29.0,95.7,22.2,0.0,0.0,0.0
B,383,97.5,94.4,72.0,51.0,18.0,65.0,33.0,12.0,88.2,40.0,0.0,0.0,0.0
B,747,95.2,93.4,80.0,54.0,24.0,77.0,43.0,18.0,88.9,20.8,0.0,0.0,0.0
A,1631,95.5,95.8,82.0,56.0,25.0,84.0,50.0,21.0,38.5,26.7,0.0,0.0,0.0
A,1176,96.1,100.0,82.0,59.0,25.0,78.0,41.0,18.0,49.4,34.2,0.0,0.0,0.0
C,368,93.8,92.3,75.0,47.0,15.0,73.0,34.0,14.0,4.0,-1.0,0.0,0.0,0.0
B,857,95.8,96.9,84.0,54.0,21.0,75.0,33.0,13.0,44.3,33.3,0.0,0.0,0.0
B,1532,95.5,99.0,76.0,53.0,23.0,70.0,37.0,15.0,47.9,26.1,0.0,0.0,0.0
B,1596,95.6,96.9,74.0,49.0,21.0,71.0,39.0,17.0,81.7,24.3,0.0,0.0,0.0
B,410,94.1,100.0,69.0,43.0,17.0,73.0,35.0,16.0,87.1,18.5,0.0,0.0,0.0
A,2293,98.0,99.3,77.0,53.0,22.0,79.0,51.0,24.0,51.3,50.6,0.0,0.0,0.0
A,212,95.4,100.0,87.0,58.0,29.0,85.0,54.0,28.0,77.8,7.1,0.0,0.0,0.0
A,696,95.6,88.9,83.0,61.0,30.0,81.0,55.0,25.0,93.8,23.3,0.0,0.0,0.0
B,3284,92.1,93.3,59.0,34.0,13.0,59.0,30.0,14.0,74.1,8.3,0.0,0.0,0.0
B,1779,88.8,94.8,60.0,32.0,10.0,53.0,19.0,6.0,15.3,5.9,0.0,0.0,0.0
B,484,90.6,90.7,73.0,44.0,15.0,67.0,30.0,11.0,100.0,0.0,0.0,0.0,0.0
